Designator,Mid X,Mid Y,Rotation,Layer
D1,34.0,-33.0,90.0,top
D10,155.058822,-33.0,90.0,top
D11,169.17647,-33.0,90.0,top
D12,183.294117,-33.0,90.0,top
D13,197.411764,-33.0,90.0,top
D14,211.529411,-33.0,90.0,top
D15,225.647058,-33.0,90.0,top
D16,239.764705,-33.0,90.0,top
D17,253.882352,-33.0,90.0,top
D18,263.5,-33.0,90.0,top
D2,42.117647,-33.0,90.0,top
D3,56.235294,-33.0,90.0,top
D4,70.352941,-33.0,90.0,top
D5,84.470588,-33.0,90.0,top
D6,98.588235,-33.0,90.0,top
D7,112.705882,-33.0,90.0,top
D8,126.823529,-33.0,90.0,top
D9,140.941175,-33.0,90.0,top
J1,28.65,-34.8,90.0,top
J2,267.85,-31.2,-90.0,top
R1,63.5,-33.0,-90.0,top
R2,77.411764,-33.0,-90.0,top
R3,133.882352,-33.0,-90.0,top
R4,162.117646,-33.0,-90.0,top
R5,218.588234,-33.0,-90.0,top
R6,232.75,-33.0,-90.0,top
