Designator,Mid X,Mid Y,Rotation,Layer
C1,41.25,-33.0,-90.0,top
C12,194.5,-33.0375,-90.0,top
C13,225.0,-33.2125,-90.0,top
C14,240.5,-32.9625,-90.0,top
C15,255.5,-32.9625,-90.0,top
C2,56.75,-33.0375,-90.0,top
C3,71.75,-33.0,-90.0,top
C4,117.75,-33.0375,-90.0,top
C5,102.75,-33.0375,-90.0,top
C6,133.0,-33.0375,-90.0,top
C7,148.5,-33.0,-90.0,top
C8,163.75,-33.0,-90.0,top
C9,179.0,-33.0,-90.0,top
D1,18.25,-33.0,180.0,top
D10,155.897053,-33.0,180.0,top
D11,171.19117,-33.0,180.0,top
D12,186.485287,-33.0,180.0,top
D13,201.779404,-33.0,180.0,top
D14,217.073521,-33.0,180.0,top
D15,232.367638,-33.0,180.0,top
D16,247.661755,-33.0,180.0,top
D17,262.955872,-33.0,180.0,top
D18,278.25,-33.0,180.0,top
D2,33.544117,-33.0,180.0,top
D3,48.838234,-33.0,180.0,top
D4,64.132351,-33.0,180.0,top
D5,79.426468,-33.0,180.0,top
D6,94.720585,-33.0,180.0,top
D7,110.014702,-33.0,180.0,top
D8,125.308819,-33.0,180.0,top
D9,140.602936,-33.0,180.0,top
